id,me,tema,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,correta,explicacao,justificativa_a,justificativa_b,justificativa_c,justificativa_d
sim-me3simulado1trimestreprovaa30qpontos3741html-10,ME3,,"Caso Clínico · Estômago Cheio / ISR

Paciente de 28 anos, vítima de trauma com fratura exposta de fêmur, está em jejum há apenas 2 horas e precisa ser submetido a cirurgia de urgência. Nega patologias prévias, sem alergias. Como deve ser realizada a indução anestésica neste caso?",Indução inalatória lenta com sevoflurano em máscara facial,"Intubação com paciente acordado sob anestesia tópica, pois o jejum é insuficiente",ISR (pré-oxigenação + etomidato ou cetamina + succinilcolina + pressão cricóidea se necessário + laringoscopia sem ventilação de máscara),Raquianestesia para evitar qualquer risco de aspiração || E) Aguardar 6h de jejum antes de qualquer procedimento anestésico,C,"— Em cirurgia de urgência com estômago cheio (jejum insuficiente), a ISR é a técnica padrão: pré-oxigenação por 3–5 min → indução rápida (etomidato 0,3 mg/kg ou cetamina 1–2 mg/kg) + succinilcolina 1,5 mg/kg → laringoscopia sem ventilação com pressão positiva → intubação com balonete inflado. A pressão cricóidea (Sellick) é controversa mas ainda usada. Aguardar jejum em trauma urgente não é conduta aceitável. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-11,ME3,,"Caso Clínico · Dependente Químico

Paciente de 35 anos, usuário crônico de heroína e cocaína, é admitido para apendicectomia de urgência. Relata uso de heroína há menos de 6 horas. Quais são as principais implicações anestésicas para este paciente?",A heroína aumenta a CAM dos halogenados; deve-se aumentar a dose de halogenado em 50%,Tolerância cruzada a opioides e benzodiazepínicos; maior necessidade de analgésicos; risco de abstinência perioperatória; cocaína recente contraindica uso de vasopressores catecolaminérgicos,O uso de heroína recente é contraindicação absoluta à anestesia geral; deve-se aguardar 24h,Dependentes de opioides têm menor necessidade de analgesia pós-operatória || E) A cocaína prolonga o bloqueio dos bloqueadores neuromusculares adespolarizantes,B,"— O dependente de opioides apresenta tolerância (necessita doses maiores), sensibilização à dor e risco de síndrome de abstinência. Cocaína bloqueia recaptação de catecolaminas: vasopressores como efedrina (que liberam noradrenalina) podem causar resposta exagerada — preferir fenilefrina de ação direta. A CAM dos halogenados pode estar diminuída no usuário agudo de depressores e aumentada no dependente crônico em abstinência. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-12,ME3,,"Teórica · Trauma / Fisiopatologia

A hipotensão permissiva durante a ressuscitação no trauma hemorrágico preconiza manter a pressão arterial sistólica (PAS) em qual faixa, antes do controle definitivo do sangramento?",PAS entre 50–60 mmHg,"PAS entre 80–90 mmHg (exceto em TCE associado, onde se visa PAM ≥ 80 mmHg)",PAS entre 110–120 mmHg para garantir perfusão orgânica,PAM > 65 mmHg em todos os cenários de trauma || E) Normotensão plena deve ser mantida para evitar isquemia renal,B,— A hipotensão permissiva (PAS 80–90 mmHg ou PAM 50–65 mmHg) no trauma penetrante antes do controle cirúrgico reduz a diluição de fatores de coagulação e o desalojamento de coágulos. EXCEÇÃO: TCE concomitante exige PAM ≥ 80 mmHg para garantir PPC adequada. Cristaloides em excesso pioram a tríade letal e são evitados; preferem-se hemoderivados (DCR). Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-13,ME3,,"Caso Clínico · Fórmula de Parkland

Criança de 20 kg sofreu queimaduras de 2º e 3º grau acometendo 40% da superfície corporal queimada (SCQ). Utilizando a fórmula de Parkland, qual o volume de Ringer lactato a ser administrado nas primeiras 24 horas e como deve ser dividido?",1.600 mL; metade nas primeiras 8h e metade nas 16h seguintes,3.200 mL; metade nas primeiras 8h (contadas do momento da queimadura) e metade nas 16h seguintes,4.800 mL; dividido em partes iguais de 8 em 8 horas,800 mL; administrado continuamente em 24h || E) 6.400 mL; metade nas primeiras 4h e restante nas 20h seguintes,B,"— Fórmula de Parkland: 4 mL × kg × % SCQ = 4 × 20 × 40 = 3.200 mL de Ringer lactato. Metade (1.600 mL) nas primeiras 8h contadas a partir do momento da queimadura (não da chegada ao hospital). A outra metade nas 16h seguintes. Coloides evitados nas primeiras 24h. O débito urinário deve ser monitorado (0,5–1 mL/kg/h em adultos; 1 mL/kg/h em crianças) para guiar a reposição. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-14,ME3,,"Caso Clínico · Succinilcolina no Queimado

Paciente adulto com queimaduras extensas (50% SCQ) de 3º grau está sendo preparado para desbridamento cirúrgico no 5º dia após o trauma. A intubação orotraqueal é necessária. Qual o bloqueador neuromuscular de escolha para a ISR e qual a contraindicação específica neste contexto?",Succinilcolina é a droga de escolha em qualquer fase pós-queimadura por seu rápido início de ação,"Rocurônio em alta dose (1,2 mg/kg) é preferido pois a succinilcolina é contraindicada após 24–48h da queimadura extensa pelo risco de hipercalemia potencialmente fatal",Vecurônio em dose habitual é suficiente para ISR no queimado crônico,Cisatracúrio é contraindicado em queimados por liberação de histamina || E) Não há contraindicações específicas de bloqueadores neuromusculares no paciente queimado,B,"— A succinilcolina é CONTRAINDICADA após 24–48h em queimaduras extensas (e também em esmagamento, imobilização prolongada, desnervação). A queimadura extensa induz proliferação extrajuncional de receptores nicotínicos imaturos (α7, fetal), que ao serem ativados pela succinilcolina liberam grandes quantidades de potássio, podendo causar hipercalemia fatal (K+ > 7 mEq/L) com PCR. O rocurônio 1,2 mg/kg + sugammadex de resgate é a alternativa de escolha para ISR. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-15,ME3,,"Caso Clínico · Queimado / Via Aérea

Paciente vítima de incêndio em ambiente fechado apresenta queimaduras faciais, sobrancelhas chamuscadas, rouquidão progressiva e estridor inspiratório leve. SpO2 92% em ar ambiente. Qual a prioridade imediata no manejo da via aérea?","Aguardar piora do estridor antes de intubar, pois o edema pode regredir espontaneamente",Intubar precocemente antes que o edema progrida e torne a via aérea impérvea; considerar intubação com paciente acordado se houver tempo e habilidade,Administrar corticoide EV e nebulização com adrenalina; reservar intubação para SpO2 < 85%,Traqueostomia de urgência como primeira opção em todos os queimados de face || E) Cateter nasal de O2 a 5 L/min é suficiente enquanto aguarda avaliação do otorrinolaringologista,B,"— Inalação de fumaça com sinais de comprometimento de via aérea (rouquidão, estridor, queimadura facial, ausência de pelos nasais) é indicação de intubação PRECOCE. O edema pode evoluir rapidamente e tornar a intubação impossível em minutos a horas. A janela de intubação ""fácil"" é curta. Intubação acordado com videolaringoscópio ou fibrobroncoscópio flexível é preferida quando possível para preservar o tônus muscular. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-16,ME3,,"Teórica · Queimados

Sobre o manejo anestésico do paciente grande queimado, é CORRETO afirmar:",A cetamina é contraindicada em queimados por aumentar a secreção de muco e piorar a via aérea,"O queimado grave tem farmacocinética alterada: aumento do volume de distribuição, hipoalbuminemia e indução de enzimas hepáticas levam a necessidade de doses maiores de muitos fármacos (inclusive bloqueadores neuromusculares adespolarizantes)",A hipotermia intraoperatória não é preocupação relevante no grande queimado,A raquianestesia é contraindicada em queimados por risco de disseminação sistêmica de bactérias || E) O acesso venoso central nunca deve ser realizado em área não queimada,B,"— O grande queimado tem alterações farmacocinéticas profundas: Vd aumentado (edema, terceiro espaço), hipoalbuminemia (reduz ligação proteica), hiperdébito cardíaco (aumenta clearance), indução de CYP450. Resultado: necessidade de doses maiores de bloqueadores neuromusculares adespolarizantes (resistência), analgésicos e sedativos. A cetamina é MUITO ÚTIL no queimado (broncodilatação, analgesia, sedação dissociativa). A hipotermia é risco real (superfície corporal exposta). Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-17,ME3,,"Caso Clínico · Via Aérea Compartilhada

Paciente de 45 anos será submetido a ressecção de tumor de palato mole com reconstrução com retalho local. O cirurgião necessita de campo cirúrgico completo na cavidade oral e orofaringe. Qual a estratégia de via aérea MAIS adequada neste cenário?",Máscara laríngea para evitar passagem de tubo pela área operatória,Intubação orotraqueal com tubo aramado (reforçado/flexível) na posição nasotraqueal para liberar o campo cirúrgico intraoral,Ventilação espontânea com sedação e anestesia tópica orofaríngea,Intubação orotraqueal convencional com fixação lateral à comissura labial oposta à cirurgia || E) Jet ventilation transtraqueal percutânea como primeiro recurso,B,"— Cirurgias de cavidade oral com campo intraoral extenso exigem intubação NASOTRAQUEAL para remover o tubo do campo cirúrgico. O tubo espiral (aramado/reforçado) resiste à compressão pelo afastador cirúrgico. Deve-se avaliar previamente obstrução nasal, desvio de septo, risco de epistaxe. A nasotraqueal permite acesso amplo à cavidade oral para o cirurgião. O tubo deve estar fixado com cuidado para não ser torcido ou obstruído durante a cirurgia. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-18,ME3,,"Caso Clínico · Laringoespasmo

Criança de 5 anos, ao final de adenoamigdalectomia, durante a extubação em plano anestésico superficial, desenvolve obstrução respiratória total, com ausência de sons respiratórios, cianose progressiva e movimentos paradoxais do tórax e abdome. A SpO2 cai de 99% para 82% em 30 segundos. Qual o diagnóstico e o tratamento imediato?",Broncoespasmo; administrar salbutamol inalatório e aprofundar a anestesia,"Laringoespasmo completo; manobra de pressão positiva suave + propofol em dose subhipnótica (0,5 mg/kg) ou succinilcolina 0,1–0,5 mg/kg IV (ou 4 mg/kg IM se sem acesso) + ventilação assistida",Obstrução por corpo estranho; realizar manobra de Heimlich imediatamente,Apneia pós-extubação; apenas estimular o paciente verbalmente e aguardar recuperação || E) Edema de glote; administrar adrenalina nebulizada e aguardar 10 minutos,B,"— O laringoespasmo é fechamento reflexo das cordas vocais verdadeiras e falsas. Diagnóstico clínico: sem sons respiratórios + SpO2 caindo + movimentos paradoxais. Tratamento sequencial: (1) CPAP com O2 100% + manobra de Larson (pressão no ""ponto mágico"" — incisura mastóide); (2) propofol 0,5 mg/kg para relaxar as cordas; (3) succinilcolina se SpO2 < 80% ou apneia completa (0,1 mg/kg IV de resgate até 4 mg/kg IM sem acesso). Reintubação se necessário. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-19,ME3,,"Teórica · BMF

Na anestesia para cirurgia ortognática bimaxilar (Le Fort I + BSSO), qual das seguintes afirmações está CORRETA?",A bloqueio intermaxilar (fio de aço interarcadas) no pós-operatório não representa risco para a via aérea,O posicionamento em Trendelenburg reverso reduz o sangramento no campo cirúrgico e deve ser utilizado; a hipotensão controlada (PAM 55–65 mmHg) também reduz sangramento,A extubação deve ser sempre realizada com o paciente profundamente anestesiado para evitar tosse,A intubação nasotraqueal é desnecessária neste tipo de cirurgia || E) O uso de desmopressina é contraindicado em cirurgias ortognáticas,B,"— Na ortognática, a intubação nasotraqueal é obrigatória (campo intraoral + oclusão dental checada intraop). Hipotensão controlada (PAM 55–65 mmHg) + Trendelenburg reverso + cabeça elevada reduzem sangramento. A extubação deve ser com o paciente ACORDADO e com reflexos de via aérea, pois o bloqueio intermaxilar pós-op impede abertura da boca — em caso de vômito/obstrução, o paciente não consegue abrir a boca. Tesoura e alicate devem estar na cabeceira para cortar os fios em emergência. Alternativa E preservada junto da D para compatibilidade.",,,,
