id,me,tema,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,correta,explicacao,justificativa_a,justificativa_b,justificativa_c,justificativa_d
sim-me1simulado1trimestreprovaa30qpontos151html-10,ME1,,"9) Caso ClínicoVias Aéreas Homem de 55 anos, IMC 38 kg/m², pescoço curto, para prostatectomia radical. Avaliação: abertura bucal 3 cm, Mallampati IV, distância tireomentoniana 5,5 cm, extensão cervical limitada. O anestesiologista planeja videolaringoscópio como estratégia primária. Qual escore de predição de via aérea difícil utiliza múltiplos preditores combinados para maior acurácia?",Escore de Glasgow.,Escore de Wilson.,Escore de Ramsay.,Escore de Aldrete. || E) Escore de Apgar.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-11,ME1,,"10) Caso ClínicoVias Aéreas Paciente de 38 anos, feminina, para apendicectomia de urgência. Última refeição há 2 horas. O anestesiologista classifica como estômago cheio e opta por indução em sequência rápida. Qual combinação farmacológica é a mais utilizada nesta técnica?",Propofol + vecurônio + alfentanil.,Cetamina + pancurônio + morfina.,Propofol + succinilcolina + pressão cricoide (manobra de Sellick).,Etomidato + rocurônio em dose convencional + fentanil. || E) Tiopental + atracúrio + remifentanil.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-12,ME1,,"11) Caso ClínicoVias Aéreas Durante laringoscopia direta, anestesiologista visualiza apenas a epiglote (Cormack-Lehane IV). Após duas tentativas frustradas, SpO₂ cai para 88% e ventilação com máscara facial é difícil. Segundo o algoritmo de via aérea difícil da SBA/ASA, qual é a próxima conduta?",Nova tentativa com lâmina diferente.,"Chamar ajuda, manter oxigenação e usar dispositivo supraglótico como ponte.",Administrar succinilcolina e tentar imediatamente.,Traqueostomia cirúrgica imediata sem outras tentativas. || E) Aguardar o paciente acordar e reagendar a cirurgia.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-13,ME1,,"12) Vias Aéreas Na classificação de Mallampati modificada (Samsoon e Young), o que é visualizado no grau III?","Palato mole, úvula, pilares amigdalianos e toda a orofaringe.","Palato mole, úvula e pilares amigdalianos parcialmente.",Apenas palato mole e base da úvula.,"Apenas palato duro. || E) Palato mole, úvula e amígdalas completamente visíveis.",A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-14,ME1,,"13) Caso ClínicoRiscos Profissionais Anestesiologista trabalha há 12 anos com sistema de exaustão defeituoso. Apresenta cefaleia crônica, dificuldade de concentração e alterações hepáticas. Qual agente halogenado, em altas concentrações ambientais crônicas, está mais associado à hepatotoxicidade?",Isoflurano.,Sevoflurano.,Halotano.,Desflurano. || E) Óxido nitroso.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-15,ME1,,"14) Caso ClínicoSBA/SUS Em auditoria, constata-se que pacientes ASA III são submetidos a anestesia sem consulta pré-anestésica. Segundo a Resolução CFM nº 2.174/2017 e normas da SBA, a consulta pré-anestésica é:",Recomendada apenas para cirurgias de alto risco.,Obrigatória apenas para ASA IV e V.,Obrigatória para todos os pacientes submetidos a procedimentos anestésicos.,"Facultativa, a critério do anestesiologista. || E) Necessária apenas nas primeiras 24 horas após internação.",A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-16,ME1,,"15) Caso ClínicoÉtica/Bioética Paciente de 19 anos, vítima de trauma abdominal grave, chega inconsciente, sem documentos e sem familiar identificado. Necessita laparotomia de urgência. Qual fundamento autoriza o procedimento sem consentimento?",Princípio da autonomia médica.,Estado de necessidade e princípio da beneficência diante de risco iminente de morte.,Princípio da não maleficência que proíbe qualquer intervenção sem consentimento.,"Autorização implícita presumida por lei, sem necessidade de justificativa ética. || E) Não existe base legal; aguardar familiar ou autorização judicial.",A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-17,ME1,,"16) Avaliação Pré-Anestésica Segundo diretrizes da SBA e ASA para cirurgias eletivas em adultos saudáveis, qual o tempo mínimo de jejum para líquidos claros (água, suco sem polpa, chá sem leite)?",8 horas.,6 horas.,4 horas.,2 horas. || E) 1 hora.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-18,ME1,,"17) Caso ClínicoResponsabilidade Médica Anestesiologista em seu quinto plantão consecutivo de 24 horas comete erro de dosagem de bloqueador neuromuscular, resultando em curarização residual prolongada e reintubação em UTI. Este caso exemplifica principalmente:","Imperícia, pois não conhecia a farmacologia do fármaco.",Impacto do fator humano e da fadiga como risco sistêmico para a segurança do paciente.,Negligência exclusiva do hospital por não ter outro profissional disponível.,"Evento adverso inevitável, sem responsabilidade profissional. || E) Imprudência por aceitar o plantão mesmo ciente do cansaço.",A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-19,ME1,,18) Caso ClínicoVias Aéreas Gestante de 36 semanas em cesariana de urgência sob anestesia geral após falha de bloqueio subaracnóideo. Laringoscopia evidencia Cormack-Lehane III e edema de mucosa oral. Qual fator fisiológico da gestação MAIS contribui para maior risco de via aérea difícil?,Aumento do volume plasmático.,Edema de mucosa das vias aéreas superiores por retenção hídrica e hiperestrogenismo.,Diminuição da capacidade residual funcional.,Aumento do débito cardíaco. || E) Hiperventilação fisiológica da gestação.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
