"id","me","frente","verso","tags","especialidade"
"097b5e25-becd-4111-9567-a3a4d1c084b2","ME1","Durante ventilação mecânica, aumento abrupto da pressão de pico sem alteração da pressão de platô sugere qual mecanismo?","Aumento da resistência de vias aéreas. Principais causas: broncoespasmo, secreções, tubo dobrado ou obstruído. Quando pressão de pico e platô aumentam juntas, suspeita-se redução da complacência pulmonar.

Referências: Barash Clinical Anesthesia 9th ed.; Miller’s Anesthesia 9th ed.","",""
"09cfc71e-2206-4e91-95dc-0bcfc6026bae","ME1","Qual agente intravenoso está mais associado à estabilidade hemodinâmica na indução?","Etomidato. Produz mínima depressão cardiovascular, sendo útil em pacientes instáveis.

Referências: Morgan & Mikhail Clinical Anesthesiology 7th ed.","",""
"1596325b-9a53-4cae-ad21-4a4324aa6696","ME1","Paciente em ventilação mecânica apresenta auto-PEEP. Qual principal mecanismo?","Tempo expiratório insuficiente levando a aprisionamento aéreo. Comum em DPOC e frequência respiratória elevada.

Referências: Barash Clinical Anesthesia 9th ed.","",""
"26e2e779-a4a5-444b-a44e-bcfcbaffea68","ME1","Durante monitorização básica, qual método é padrão ouro para detecção contínua de hipóxia?","Oximetria de pulso. Permite monitorização contínua não invasiva da saturação periférica de oxigênio.

Referências: ASA Standards for Basic Anesthetic Monitoring","",""
"283aa00b-b61c-4ad5-85b5-29e000fd3765","ME1","Paciente obeso com roncos importantes apresenta Mallampati IV. Qual principal preocupação anestésica no pré-operatório?","Predição de via aérea difícil. Mallampati elevado sugere dificuldade potencial de laringoscopia e ventilação. Deve-se avaliar distância tireomentoniana, mobilidade cervical, abertura oral e planejar estratégia de resgate.

Referências: Difficult Airway Society Guidelines; Miller’s Anesthesia 9th ed.","",""
"285121a4-b3d8-4b03-b6cb-e71e79caba4f","ME1","Durante anestesia regional, aparecimento de gosto metálico e zumbido sugere qual complicação?","Toxicidade sistêmica por anestésico local. Sintomas neurológicos precoces precedem convulsões e colapso cardiovascular.

Referências: ASRA Practice Advisory on Local Anesthetic Systemic Toxicity","",""
"2d263a32-b5c0-4c0e-9255-5897048ebf8e","ME1","Qual principal causa de hipóxia imediatamente após extubação?","Obstrução de vias aéreas superiores por perda do tônus faríngeo.

Referências: Miller’s Anesthesia 9th ed.","",""
"2f94075d-3499-4d02-a744-2511a94f937b","ME1","Qual principal risco da succinilcolina em queimados após 48 horas?","Hipercalemia grave por proliferação de receptores extrajuncionais de acetilcolina.

Referências: Stoelting’s Pharmacology & Physiology in Anesthetic Practice","",""
"35a8a790-bfe7-4a4d-8dc6-d9ed63b0cb9e","ME1","Qual complicação fisiológica pode ocorrer após pré-oxigenação inadequada em paciente obeso?","Dessaturação extremamente rápida durante apneia. Obesos possuem menor capacidade residual funcional e maior consumo de oxigênio.

Referências: Barash Clinical Anesthesia 9th ed.","",""
"3727fdc8-1ddb-484a-b193-8c481fdb26db","ME1","Qual parâmetro capnográfico confirma mais precocemente intubação esofágica?","Ausência persistente de curva capnográfica confiável após algumas ventilações. Capnografia contínua é padrão ouro para confirmação da intubação traqueal.

Referências: ASA Difficult Airway Guidelines; Miller’s Anesthesia 9th ed.","",""
