"id","me","tema","enunciado","alternativa_a","alternativa_b","alternativa_c","alternativa_d","correta","explicacao"
"87b7057c-c587-490c-b205-36188677efb8","ME3","Procedimentos","Paciente em ventilação mecânica apresenta aumento súbito da pressão de pico, queda da saturação e hipotensão após inserção de cateter venoso central. Qual o diagnóstico mais provável?","Broncoespasmo","Edema agudo pulmonar","Pneumotórax hipertensivo","Tamponamento cardíaco","C",""
"ffa731dc-75f9-4655-9719-9b0c7ad06be1","ME3","Monitorização","Na monitorização hemodinâmica avançada, a variabilidade da pressão de pulso é mais útil para:","Avaliar profundidade anestésica","Predizer responsividade volêmica em pacientes selecionados","Diagnosticar isquemia miocárdica","Mensurar pressão intracraniana","B",""
"0d0a4906-9f9d-455a-862b-11f9de7df290","ME3","Cardiologia","Em relação ao manejo perioperatório do paciente coronariopata, qual afirmativa é correta?","Betabloqueadores devem ser sempre suspensos no pré-operatório","Taquicardia aumenta consumo miocárdico de oxigênio","Hipotensão reduz risco de isquemia miocárdica","Anemia não interfere na oferta de oxigênio ao miocárdio","B",""
"3c0ab9b7-2b75-4fa1-874f-b86d050eecc1","ME3","Na hipertermia maligna, qual alteração l","Na hipertermia maligna, qual alteração laboratorial costuma ocorrer precocemente?","Hipocalemia","Elevação do ETCO2","Hipoglicemia","Redução da CK","B",""
"1af3fa6f-3b70-4653-911e-ce14bfa512f2","ME3","Paciente em choque hemorrágico maciço ap","Paciente em choque hemorrágico maciço apresenta coagulopatia. Qual estratégia transfusional é mais recomendada?","Cristaloides em grande volume","Reposição balanceada de hemocomponentes","Suspender plasma fresco","Transfundir apenas concentrado de hemácias","B",""
"1c821c7b-37c9-40dc-8c27-1ab75b6c2bda","ME3","Qual parâmetro melhor indica responsivid","Qual parâmetro melhor indica responsividade volêmica em ventilação mecânica controlada?","PVC","Variação da pressão de pulso","Frequência cardíaca isolada","Temperatura periférica","B",""
"08dc3172-9e1f-4c28-bdc4-33c02c899678","ME3","Durante ventilação monopulmonar, qual me","Durante ventilação monopulmonar, qual mecanismo mais contribui para manutenção da oxigenação?","Aumento do espaço morto","Vasoconstrição pulmonar hipóxica","Hipercapnia permissiva","PEEP zero","B",""
"138ed9c6-ca96-4905-b0c5-f409bdaa4be9","ME3","Paciente com estenose aórtica crítica se","Paciente com estenose aórtica crítica será submetido à anestesia geral. Qual objetivo hemodinâmico é prioritário?","Taquicardia sustentada","Redução importante da pós-carga","Manutenção do ritmo sinusal e pré-carga","Bradicardia extrema","C",""
"289f894a-4dd4-4568-8d83-84048ac642e1","ME3","Qual agente anestésico possui menor impa","Qual agente anestésico possui menor impacto na vasoconstrição pulmonar hipóxica?","Isoflurano","Sevoflurano","Propofol","Halotano","C",""
"2dd688df-0af0-45f8-a7e0-32cbc638f9ad","ME3","Paciente em uso de ECMO arterial apresen","Paciente em uso de ECMO arterial apresenta distensão ventricular esquerda importante. Qual complicação pode ocorrer?","Hipoperfusão coronariana","Redução da pressão capilar pulmonar","Hipovolemia absoluta","Bradicardia vagal obrigatória","A",""
"c7ea1e2f-6a8d-4fc3-974f-1fb51f433751","ME3","Na monitorização neuromuscular quantitat","Na monitorização neuromuscular quantitativa, qual valor TOF é considerado adequado para extubação segura?","0,4","0,5","0,7","≥0,9","D",""
"5f091743-1df1-4c01-86d2-490d02eba015","ME3","Farmacologia AL","1o Trimestre ME3 - Em farmacologia dos anestésicos locais, qual fator mais aumenta risco de cardiotoxicidade grave?","Baixa lipossolubilidade","Elevada ligação aos canais de sódio cardíacos","Baixa potência anestésica","Baixa ligação proteica","B","Baixa lipossolubilidade reduz potência e toxicidade.

Correta. Alta afinidade pelos canais cardíacos prolonga dissociação e favorece arritmias.

Baixa potência não aumenta cardiotoxicidade.

Ligação proteica baixa reduz duração."
"36ea7bdb-3647-41cc-b187-7c90f264beb2","ME3","Anestesia Regional","1o Trimestre ME3 - Em anestesia regional, qual característica aumenta velocidade de início do anestésico local?","Maior pKa","Maior fração não ionizada","Maior ligação proteica","Maior peso molecular","B","Maior pKa reduz fração não ionizada.

Correta. A forma não ionizada atravessa membranas mais rapidamente.

Ligação proteica relaciona-se mais à duração.

Peso molecular não é principal fator."
"c635d046-b11a-48af-9192-ba35338397a7","ME3","Fisiologia CV","1o Trimestre ME3 - Em fisiologia cardiovascular, pós-carga ventricular esquerda depende principalmente de:","Pré-carga","Resistência vascular sistêmica","Pressão venosa central","Volume residual pulmonar","B","Pré-carga é conceito distinto.

Correta. A resistência à ejeção ventricular define pós-carga.

PVC não determina pós-carga esquerda.

Sem relação principal."
"59f11b70-c312-4587-9660-8045031977ab","ME3","Halogenados","1o Trimestre ME3 - Qual agente inalatório possui menor metabolismo hepático?","Halotano","Sevoflurano","Isoflurano","Desflurano","D","Halotano apresenta metabolismo significativo.

Sevoflurano possui metabolismo intermediário.

Isoflurano apresenta baixo metabolismo.

Correta. Desflurano possui metabolismo mínimo."
"b02fbf99-8707-4fef-9110-d46942300a40","ME3","Fisiologia Pulmonar","1o Trimestre ME3 - Em fisiologia pulmonar, shunt intrapulmonar corresponde a:","Perfusão sem ventilação","Ventilação sem perfusão","Hiperventilação compensatória","Aumento do espaço morto","A","Correta. O sangue passa por áreas não ventiladas.

Ventilação sem perfusão define espaço morto.

Não define shunt.

Espaço morto é conceito diferente."
"04193713-56ff-4758-8ae8-11db7b7bc5ab","ME3","Opioides","1o Trimestre ME3 - Qual opioide apresenta metabolismo independente da função hepática e renal?","Morfina","Remifentanil","Metadona","Codeína","B","Morfina depende metabolismo hepático.

Correta. Esterases plasmáticas metabolizam remifentanil rapidamente.

Metadona possui meia-vida longa.

Codeína depende metabolismo hepático."
"a5bf41ac-43a1-482e-9903-cca3a1139c33","ME3","Bloqueadores NM","1o Trimestre ME3 - Qual característica diferencia os bloqueadores neuromusculares despolarizantes?","Competem sem ativar receptor","Produzem despolarização sustentada","São revertidos por sugamadex","Não causam fasciculações","B","Isso caracteriza bloqueadores não despolarizantes.

Correta. A succinilcolina mantém a placa motora despolarizada.

Sugamadex atua em aminosteroides.

Fasciculações são frequentes."
"1522da33-432e-42c9-b9dc-376c629a9473","ME3","Fisiologia CV","1o Trimestre ME3 - Em fisiologia cardiovascular, débito cardíaco corresponde a:","FC x volume sistólico","PAM x RVS","PVC x FC","FSC x PAM","A","Correta. Débito cardíaco depende da frequência e volume sistólico.

PAM depende de DC e RVS.

PVC não entra diretamente na fórmula.

FSC não participa."
"07e86a68-9217-4680-adfd-86cfe02e0fc5","ME3","Fisiologia CV","1o Trimestre ME3 - Em fisiologia cardiovascular, qual variável mais influencia pressão arterial média?","Débito cardíaco e resistência vascular sistêmica","Volume residual pulmonar","Temperatura corporal","Concentração de hemoglobina","A","Correta. PAM depende principalmente de DC e RVS.

Não possui relação principal.

Influência secundária.

Hemoglobina não determina diretamente PAM."
"e11b604b-34cf-4b59-b066-468e7d9c9574","ME3","Opioides","1o Trimestre ME3 - Qual opioide possui maior risco de rigidez torácica após administração rápida?","Codeína","Fentanil","Nalbufina","Tramadol","B","Codeína não causa tipicamente esse efeito.

Correta. Altas doses rápidas de fentanil podem causar rigidez muscular.

Nalbufina apresenta menor associação.

Tramadol raramente produz rigidez."
"2255776c-9f8a-4f3b-a182-f30a1f454dc4","ME3","Fisiologia Respiratória","1o Trimestre ME3 - Em fisiologia respiratória, qual fator reduz espaço morto fisiológico?","Aumento da perfusão pulmonar","Embolia pulmonar","Hipotensão grave","Ventilação sem perfusão","A","Correta. Melhor perfusão reduz áreas ventiladas sem fluxo.

Embolia aumenta espaço morto.

Hipotensão reduz perfusão pulmonar.

Define aumento de espaço morto."
"51b50c82-48e9-4461-aa11-24930c9d62dc","ME3","Fisiologia Respiratória","1o Trimestre ME3 - Em fisiologia respiratória, qual mecanismo melhora oxigenação com PEEP?","Aumento do espaço morto","Recrutamento alveolar","Broncoconstrição","Redução da capacidade residual funcional","B","PEEP não visa aumentar espaço morto.

Correta. A PEEP mantém alvéolos abertos e reduz atelectasia.

PEEP não causa broncoconstrição.

A CRF geralmente aumenta."
