"id","me","tema","enunciado","alternativa_a","alternativa_b","alternativa_c","alternativa_d","correta","explicacao"
"ed27cd83-568f-470d-bd1e-55b45eaba112","ME1","Qual o principal mecanismo de ação dos anestésicos","Qual o principal mecanismo de ação dos anestésicos locais?","Bloqueio dos canais de cálcio","Bloqueio dos canais de sódio","Ativação dos receptores GABA","Inibição dos receptores NMDA","B","Os anestésicos locais bloqueiam canais de sódio voltagem-dependentes na membrana neuronal, impedindo a despolarização e propagação do impulso nervoso. A forma não ionizada (lipossolúvel) penetra na membrana; a forma ionizada bloqueia o canal internamente. Referência: Morgan & Mikhail 7ed, cap. 16; Miller's Anesthesia 9ed, cap. 36."
"082f1b38-0624-4cfb-87e4-d2cb5b023d2c","ME1","Qual anestésico local possui menor duração de ação","Qual anestésico local possui menor duração de ação?","Bupivacaína","Ropivacaína","Lidocaína","Tetracaína","C","A lidocaína possui duração de ação intermediária (~1-2h sem vasoconstritor). A bupivacaína tem duração longa (~4-8h), a ropivacaína (~3-6h) e a tetracaína (~3-6h). A prilocaína tem duração similar à lidocaína. A cloroprocaína (éster) é o de duração mais curta (~30 min). Referência: Miller's Anesthesia 9ed, cap. 36."
"1851d814-d5b2-4d71-9145-603eea6cdfa0","ME1","Qual estrutura é atravessada na punção peridural l","Qual estrutura é atravessada na punção peridural lombar?","Pia-máter","Aracnoide","Ligamento amarelo","Medula espinhal","C","Na punção peridural lombar (linha média), a agulha atravessa: pele → subcutâneo → ligamento supraespinhoso → ligamento interespinhoso → ligamento amarelo (flavum), que constitui a referência para identificação do espaço peridural pela técnica de perda de resistência. Referência: Morgan & Mikhail 7ed, cap. 45."
"413c65ba-7699-4125-8cd4-00e07d18bd0e","ME1","Qual é a principal complicação imediata da anestes","Qual é a principal complicação imediata da anestesia raquidiana?","Hipertensão","Hipotensão arterial","Hiperglicemia","Broncoespasmo","B","O bloqueio simpático extenso gerado pela raquianestesia promove vasodilatação arteriolar e venosa, reduzindo pré-carga e resistência vascular sistêmica — resultando em hipotensão, a complicação imediata mais frequente. Tratamento: volume, vasopressores (fenilefrina, efedrina). Referência: Miller's Anesthesia 9ed, cap. 45."
"e3419ce8-8263-4f07-ab0f-9a2cd01a3506","ME1","Qual nervo é bloqueado no bloqueio interescalênico","Qual nervo é bloqueado no bloqueio interescalênico?","Nervo femoral","Plexo braquial","Nervo tibial","Nervo facial","B","O bloqueio interescalênico aborda as raízes C5-C7 do plexo braquial entre os músculos escalenos anterior e médio, sendo indicado para cirurgias de ombro e braço proximal. Por sua localização, bloqueia quase invariavelmente o nervo frênico ipsilateral (C3-C5). Referência: Morgan & Mikhail 7ed, cap. 17."
"aeae2fc4-1fe2-445d-8180-accbb6cd243d","ME1","Qual anestésico local está mais associado à metahe","Qual anestésico local está mais associado à metahemoglobinemia?","Lidocaína","Prilocaína","Bupivacaína","Ropivacaína","B","A prilocaína é metabolizada a o-toluidina, que oxida a hemoglobina a metemoglobina. Doses >600 mg podem causar metemoglobinemia significativa (cianose, SpO2 falsamente normal, PaO2 normal). Tratamento: azul de metileno 1-2 mg/kg IV. Referência: Miller's Anesthesia 9ed, cap. 36."
"b3c12d78-1a9c-4b18-8e68-e5c08bc3d6a8","ME1","Qual o principal objetivo da analgesia multimodal?","Qual o principal objetivo da analgesia multimodal?","Aumentar consumo de opioides","Reduzir efeitos adversos e melhorar analgesia","Substituir anestesia geral","Produzir sedação profunda","B","A analgesia multimodal combina fármacos com mecanismos distintos (AINEs, paracetamol, opioides, anestésicos locais, cetamina, dexmedetomidina, gabapentinoides) para melhorar o controle da dor e reduzir efeitos adversos — especialmente o consumo de opioides e seus efeitos colaterais. Referência: Diretrizes ASA manejo da dor pós-operatória 2023."
"ca670aa2-cd5b-42b4-83c2-b4744c6d701e","ME1","Qual é o dermátomo aproximado necessário para cesa","Qual é o dermátomo aproximado necessário para cesariana sob raquianestesia?","T12","T10","T6","T4","D","Para cesariana sob raquianestesia é necessário bloqueio sensitivo bilateral até T4 (nível dos mamilos) para prevenir dor à tração uterina e peritoneal. Bloqueio insuficiente acima de T6 resulta em dor intraoperatória. Referência: Miller's Anesthesia 9ed, cap. 77."
"f32536cc-d841-47ed-a260-50735feba758","ME1","Qual complicação é mais frequente após bloqueio in","Qual complicação é mais frequente após bloqueio interescalênico?","Pneumotórax bilateral","Paralisia frênica","Lesão medular","Hipertensão pulmonar","B","O nervo frênico (C3-C5) cursa sobre o músculo escaleno anterior, adjacente ao local de injeção do bloqueio interescalênico. Sua paralisia ipsilateral ocorre em ~100% dos casos, reduzindo a função diafragmática em ~25%. Contraindicado em pacientes com reserva pulmonar limitada bilateral. Referência: Morgan & Mikhail 7ed, cap. 17."
"84a5c2b0-2164-4ee5-a063-340bb9835f68","ME1","Qual droga pode ser adicionada ao anestésico local","Qual droga pode ser adicionada ao anestésico local para prolongar bloqueio regional?","Atropina","Adrenalina","Flumazenil","Naloxona","B","A adrenalina adicionada ao anestésico local provoca vasoconstrição local, reduzindo a absorção sistêmica e prolongando a duração do bloqueio. Também serve como marcador de injeção intravascular inadvertida (taquicardia, hipertensão). Concentração habitual: 1:200.000 a 1:400.000. Referência: Miller's Anesthesia 9ed, cap. 36."
"f9488fc7-8487-436e-bae7-631faf99c96f","ME1","Qual nervo é responsável pela inervação motora pri","Qual nervo é responsável pela inervação motora principal do diafragma?","Vago","Frênico","Hipoglosso","Facial","B","O nervo frênico origina-se principalmente de C4, com contribuições de C3 e C5, sendo o único responsável pela inervação motora do diafragma. Lesão acima de C3 provoca parada respiratória. Referência: Gray's Anatomy; Miller's Anesthesia 9ed."
"ff3f5c07-5528-44f7-b497-d771b35756c1","ME1","Qual o principal efeito adverso da morfina neuraxi","Qual o principal efeito adverso da morfina neuraxial?","Hipertensão","Depressão respiratória tardia","Hiperglicemia","Arritmia ventricular","B","A morfina neuraxial possui baixa lipossolubilidade, permanecendo no LCR por horas e podendo migrar cefalicamente para centros respiratórios bulbares. A depressão respiratória tardia (6-24h após injeção intratecal) é o efeito adverso mais temido, exigindo monitorização prolongada. Referência: Miller's Anesthesia 9ed, cap. 40."
"e783d0e6-7ad5-41f6-83ab-4b30b0ea2070","ME1","Qual bloqueio é indicado para analgesia de cirurgi","Qual bloqueio é indicado para analgesia de cirurgia de ombro?","Femoral","Intercostal","Interescalênico","Ciático","C","O bloqueio interescalênico aborda C5-C7 do plexo braquial, cobrindo a articulação do ombro. É a técnica regional de eleição para cirurgias de ombro (artroscopia, artroplastia, reparo de manguito rotador). Referência: Morgan & Mikhail 7ed, cap. 17."
"2a3ac4c1-5c1d-409f-bab2-d9491057829f","ME1","Qual complicação sistêmica grave pode ocorrer com","Qual complicação sistêmica grave pode ocorrer com anestésicos locais?","Hipotireoidismo","Toxicidade sistêmica","Hiperglicemia","Hipocalemia","B","A toxicidade sistêmica por anestésico local (LAST) manifesta-se em SNC (zumbido, convulsões) e cardiovascular (arritmias, colapso). Tratamento: emulsão lipídica 20%, suporte avançado de vida. Referência: Diretriz ASRA LAST 2023."
"95c0a573-ac89-4ab4-a0c0-53e2e419e8d3","ME1","Qual posição é mais utilizada para realização de r","Qual posição é mais utilizada para realização de raquianestesia?","Trendelenburg","Decúbito ventral","Sentado ou lateral","Ortostática","C","As posições mais utilizadas para raquianestesia são o decúbito lateral (especialmente para soluções isobáricas) e sentado (facilita identificação da linha média, preferida em obesos e cirurgias perineais em sela). Referência: Morgan & Mikhail 7ed, cap. 45."
